Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-08 23:33:06,27100,780,1439
Guangdong,Mainland China,2020-02-08 11:53:01,1095,1,112
Zhejiang,Mainland China,2020-02-08 10:53:02,1048,0,175
Henan,Mainland China,2020-02-08 14:13:12,981,4,116
Hunan,Mainland China,2020-02-08 12:53:01,803,1,156
Anhui,Mainland China,2020-02-08 07:43:02,733,0,59
Jiangxi,Mainland China,2020-02-08 01:23:02,698,0,55
Jiangsu,Mainland China,2020-02-08 10:23:04,439,0,51
Chongqing,Mainland China,2020-02-08 11:03:15,428,2,39
Shandong,Mainland China,2020-02-08 11:33:02,416,0,44
Sichuan,Mainland China,2020-02-08 15:23:04,364,1,60
Beijing,Mainland China,2020-02-08 03:13:09,315,2,34
Heilongjiang,Mainland China,2020-02-08 04:03:09,295,5,13
Shanghai,Mainland China,2020-02-08 06:33:02,286,1,41
Fujian,Mainland China,2020-02-08 08:13:10,239,0,24
Hebei,Mainland China,2020-02-08 11:33:02,195,1,30
Shaanxi,Mainland China,2020-02-08 10:13:06,195,0,20
Guangxi,Mainland China,2020-02-08 00:23:03,183,0,17
Yunnan,Mainland China,2020-02-08 08:43:02,138,0,17
Hainan,Mainland China,2020-02-08 10:23:04,124,2,14
Shanxi,Mainland China,2020-02-08 23:53:02,115,0,21
Liaoning,Mainland China,2020-02-08 11:53:01,105,0,8
Guizhou,Mainland China,2020-02-08 06:43:03,89,1,7
Tianjin,Mainland China,2020-02-08 08:23:04,88,1,4
Gansu,Mainland China,2020-02-08 15:13:14,79,1,12
Jilin,Mainland China,2020-02-08 00:13:04,69,1,4
Cruise Ship,Others,2020-02-07 16:33:03,61,0,0
Inner Mongolia,Mainland China,2020-02-08 03:33:02,52,0,5
Ningxia,Mainland China,2020-02-08 09:13:16,45,0,15
Xinjiang,Mainland China,2020-02-08 03:23:10,42,0,0
,Singapore,2020-02-08 12:53:01,33,0,2
,Thailand,2020-02-08 12:53:01,32,0,10
Hong Kong,Hong Kong,2020-02-08 00:03:07,26,1,0
,Japan,2020-02-07 04:13:20,25,0,1
,South Korea,2020-02-07 03:03:03,24,0,1
Qinghai,Mainland China,2020-02-06 02:13:15,18,0,3
Taiwan,Taiwan,2020-02-08 05:23:02,17,0,1
,Malaysia,2020-02-08 10:23:04,16,0,1
,Germany,2020-02-07 16:33:03,13,0,0
,Vietnam,2020-02-08 07:23:04,13,0,1
,France,2020-02-08 09:53:01,11,0,0
Macau,Macau,2020-02-06 14:23:04,10,0,1
,United Arab Emirates,2020-02-08 07:03:16,7,0,0
Queensland,Australia,2020-02-07 01:03:02,5,0,0
New South Wales,Australia,2020-02-06 03:13:22,4,0,2
Victoria,Australia,2020-02-01 18:12:49,4,0,0
British Columbia,Canada,2020-02-07 05:43:03,4,0,0
,India,2020-02-03 21:43:02,3,0,0
,Italy,2020-02-07 17:53:02,3,0,0
,Philippines,2020-02-07 16:43:04,3,1,0
,UK,2020-02-07 18:33:02,3,0,0
South Australia,Australia,2020-02-02 22:33:07,2,0,0
"Toronto, ON",Canada,2020-02-04 00:13:06,2,0,0
,Russia,2020-01-31 16:13:45,2,0,0
"Chicago, IL",US,2020-02-01 19:43:03,2,0,0
"San Benito, CA",US,2020-02-03 03:53:02,2,0,0
"Santa Clara, CA",US,2020-02-03 00:43:02,2,0,0
,Belgium,2020-02-04 15:43:02,1,0,0
,Cambodia,2020-01-31 08:15:53,1,0,0
"London, ON",Canada,2020-02-04 00:03:11,1,0,0
,Finland,2020-01-31 08:15:53,1,0,0
Tibet,Mainland China,2020-02-01 01:52:40,1,0,0
,Nepal,2020-01-31 08:15:53,1,0,0
,Spain,2020-02-01 23:43:02,1,0,0
,Sri Lanka,2020-02-08 03:43:03,1,0,1
,Sweden,2020-02-01 02:13:26,1,0,0
"Boston, MA",US,2020-02-01 19:43:03,1,0,0
"Los Angeles, CA",US,2020-02-01 19:53:03,1,0,0
"Madison, WI",US,2020-02-05 21:53:02,1,0,0
"Orange, CA",US,2020-02-01 19:53:03,1,0,0
"Seattle, WA",US,2020-02-01 19:43:03,1,0,0
"Tempe, AZ",US,2020-02-01 19:43:03,1,0,0
