Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-01 11:53:00,7153,249,168
Zhejiang,Mainland China,2020-02-01 10:53:00,599,0,21
Guangdong,Mainland China,2020-02-01 14:23:00,535,0,14
Henan,Mainland China,2020-02-01 01:52:00,422,2,3
Hunan,Mainland China,2020-02-01 11:03:00,389,0,8
Anhui,Mainland China,2020-02-01 13:33:00,297,0,5
Jiangxi,Mainland China,2020-02-01 01:52:00,286,0,9
Chongqing,Mainland China,2020-02-01 08:43:00,247,1,3
Sichuan,Mainland China,2020-02-01 01:52:00,207,1,3
Shandong,Mainland China,2020-02-01 07:51:00,206,0,3
Jiangsu,Mainland China,2020-02-01 14:03:00,202,0,6
Shanghai,Mainland China,2020-02-01 06:05:00,169,1,10
Beijing,Mainland China,2020-02-01 09:17:00,168,1,9
Fujian,Mainland China,2020-02-01 05:37:00,144,0,0
Shaanxi,Mainland China,2020-02-01 05:37:00,101,0,0
Guangxi,Mainland China,2020-02-01 01:52:00,100,0,2
Hebei,Mainland China,2020-02-01 01:52:00,96,1,0
Yunnan,Mainland China,2020-02-01 15:53:00,93,0,2
Heilongjiang,Mainland China,2020-02-01 10:33:00,80,2,2
Liaoning,Mainland China,2020-02-01 15:23:00,64,0,1
Hainan,Mainland China,2020-02-01 08:43:00,62,1,1
Shanxi,Mainland China,2020-02-01 01:52:00,47,0,1
Tianjin,Mainland China,2020-02-01 15:43:00,41,0,0
Gansu,Mainland China,2020-02-01 15:43:00,40,0,0
Guizhou,Mainland China,2020-01-31 15:20:00,29,0,2
Ningxia,Mainland China,2020-02-01 02:13:00,26,0,0
Inner Mongolia,Mainland China,2020-02-01 05:37:00,23,0,1
,Japan,2020-02-01 18:53:00,20,0,1
,Thailand,2020-01-31 10:37:00,19,0,5
Xinjiang,Mainland China,2020-02-01 05:37:00,18,0,0
Jilin,Mainland China,2020-02-01 01:52:00,17,0,1
,Singapore,2020-02-01 05:37:00,16,0,0
Hong Kong,Hong Kong,2020-02-01 05:37:00,13,0,0
,South Korea,2020-02-01 10:43:00,12,0,0
Taiwan,Taiwan,2020-01-31 15:20:00,10,0,0
Qinghai,Mainland China,2020-02-01 05:37:00,9,0,0
,Malaysia,2020-01-31 08:15:00,8,0,0
,Germany,2020-02-01 18:33:00,8,0,0
Macau,Macau,2020-01-31 08:15:00,7,0,0
,France,2020-02-01 01:52:00,6,0,0
,Vietnam,2020-02-01 07:38:00,6,0,1
New South Wales,Australia,2020-02-01 18:12:00,4,0,2
Victoria,Australia,2020-02-01 18:12:00,4,0,0
,United Arab Emirates,2020-01-31 08:15:00,4,0,0
Queensland,Australia,2020-02-01 18:12:00,3,0,0
Ontario,Canada,2020-02-01 18:12:00,3,0,0
,Italy,2020-01-31 08:15:00,2,0,0
,Russia,2020-01-31 16:13:00,2,0,0
,UK,2020-02-01 01:52:00,2,0,0
"Chicago, IL",US,2020-02-01 19:43:00,2,0,0
South Australia,Australia,2020-02-01 18:12:00,1,0,0
,Cambodia,2020-01-31 08:15:00,1,0,0
British Columbia,Canada,2020-02-01 18:12:00,1,0,0
,Finland,2020-01-31 08:15:00,1,0,0
,India,2020-01-31 08:15:00,1,0,0
Tibet,Mainland China,2020-02-01 01:52:00,1,0,0
,Nepal,2020-01-31 08:15:00,1,0,0
,Philippines,2020-02-01 17:43:00,1,0,0
,Spain,2020-02-01 02:13:00,1,0,0
,Sri Lanka,2020-01-31 08:15:00,1,0,0
,Sweden,2020-02-01 02:13:00,1,0,0
"Boston, MA",US,2020-02-01 19:43:00,1,0,0
"Los Angeles, CA",US,2020-02-01 19:53:00,1,0,0
"Orange, CA",US,2020-02-01 19:53:00,1,0,0
"Santa Clara, CA",US,2020-02-01 19:53:00,1,0,0
"Seattle, WA",US,2020-02-01 19:43:00,1,0,0
"Tempe, AZ",US,2020-02-01 19:43:00,1,0,0
