Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-01-31 23:59:00,5806,204.0,141.0
Zhejiang,Mainland China,2020-01-31 23:59:00,538,,14.0
Guangdong,Mainland China,2020-01-31 23:59:00,436,,11.0
Henan,Mainland China,2020-01-31 23:59:00,352,2.0,3.0
Hunan,Mainland China,2020-01-31 23:59:00,332,,2.0
Jiangxi,Mainland China,2020-01-31 23:59:00,240,,7.0
Anhui,Mainland China,2020-01-31 23:59:00,237,,3.0
Chongqing,Mainland China,2020-01-31 23:59:00,211,,1.0
Shandong,Mainland China,2020-01-31 23:59:00,184,,2.0
Sichuan,Mainland China,2020-01-31 23:59:00,177,1.0,1.0
Jiangsu,Mainland China,2020-01-31 23:59:00,168,,5.0
Beijing,Mainland China,2020-01-31 23:59:00,139,1.0,5.0
Shanghai,Mainland China,2020-01-31 23:59:00,135,1.0,9.0
Fujian,Mainland China,2020-01-31 23:59:00,120,,
Guangxi,Mainland China,2020-01-31 23:59:00,87,,2.0
Shaanxi,Mainland China,2020-01-31 23:59:00,87,,
Yunnan,Mainland China,2020-01-31 23:59:00,83,,1.0
Hebei,Mainland China,2020-01-31 23:59:00,82,1.0,
Heilongjiang,Mainland China,2020-01-31 23:59:00,59,2.0,
Hainan,Mainland China,2020-01-31 23:59:00,52,1.0,1.0
Liaoning,Mainland China,2020-01-31 23:59:00,48,,1.0
Shanxi,Mainland China,2020-01-31 23:59:00,39,,1.0
Tianjin,Mainland China,2020-01-31 23:59:00,32,,
Guizhou,Mainland China,2020-01-31 23:59:00,29,,2.0
Gansu,Mainland China,2020-01-31 23:59:00,29,,
Ningxia,Mainland China,2020-01-31 23:59:00,21,,
Inner Mongolia,Mainland China,2020-01-31 23:59:00,20,,1.0
Xinjiang,Mainland China,2020-01-31 23:59:00,17,,
Jilin,Mainland China,2020-01-31 23:59:00,14,,1.0
Hong Kong,Hong Kong,2020-01-31 23:59:00,12,,
Taiwan,Taiwan,2020-01-31 23:59:00,10,,
Qinghai,Mainland China,2020-01-31 23:59:00,8,,
Macau,Macau,2020-01-31 23:59:00,7,,
Tibet,Mainland China,2020-01-31 23:59:00,1,,
,Thailand,2020-01-31 23:59:00,19,,5.0
,Japan,2020-01-31 23:59:00,15,,1.0
,Singapore,2020-01-31 23:59:00,13,,
,South Korea,2020-01-31 23:59:00,11,,
,Malaysia,2020-01-31 23:59:00,8,,
,France,2020-01-31 23:59:00,5,,
Bavaria,Germany,2020-01-31 23:59:00,5,,
New South Wales,Australia,2020-01-31 23:59:00,4,,2.0
,United Arab Emirates,2020-01-31 23:59:00,4,,
Victoria,Australia,2020-01-31 23:59:00,3,,
Illinois,US,2020-01-31 23:59:00,2,,
California,US,2020-01-31 23:59:00,2,,
,Vietnam,2020-01-31 23:59:00,2,,
Ontario,Canada,2020-01-31 23:59:00,2,,
Queensland,Australia,2020-01-31 23:59:00,2,,
,Italy,2020-01-31 23:59:00,2,,
,UK,2020-01-31 23:59:00,2,,
,Russia,2020-01-31 23:59:00,2,,
Washington,US,2020-01-31 23:59:00,1,,
Arizona,US,2020-01-31 23:59:00,1,,
,Nepal,2020-01-31 23:59:00,1,,
British Columbia,Canada,2020-01-31 23:59:00,1,,
,Cambodia,2020-01-31 23:59:00,1,,
,Sri Lanka,2020-01-31 23:59:00,1,,
,Finland,2020-01-31 23:59:00,1,,
,Philippines,2020-01-31 23:59:00,1,,
,India,2020-01-31 23:59:00,1,,
,Sweden,2020-01-31 23:59:00,1,,
