Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-06 23:23:02,22112,618,817
Guangdong,Mainland China,2020-02-06 12:43:02,970,0,69
Zhejiang,Mainland China,2020-02-06 10:53:04,954,0,94
Henan,Mainland China,2020-02-06 11:23:14,851,2,56
Hunan,Mainland China,2020-02-06 13:13:06,711,0,81
Jiangxi,Mainland China,2020-02-06 02:33:01,600,0,37
Anhui,Mainland China,2020-02-06 13:33:02,591,0,34
Chongqing,Mainland China,2020-02-06 23:33:02,411,2,24
Jiangsu,Mainland China,2020-02-06 08:03:10,373,0,34
Shandong,Mainland China,2020-02-06 07:53:02,347,0,27
Sichuan,Mainland China,2020-02-06 08:03:10,321,1,31
Beijing,Mainland China,2020-02-06 03:23:11,274,1,31
Shanghai,Mainland China,2020-02-06 06:53:07,257,1,25
Heilongjiang,Mainland China,2020-02-06 08:13:06,227,3,8
Fujian,Mainland China,2020-02-06 11:03:19,215,0,14
Shaanxi,Mainland China,2020-02-06 13:53:02,173,0,9
Guangxi,Mainland China,2020-02-06 04:13:13,168,0,14
Hebei,Mainland China,2020-02-06 13:53:02,157,1,13
Yunnan,Mainland China,2020-02-06 09:43:02,133,0,7
Hainan,Mainland China,2020-02-06 11:13:24,106,1,8
Shanxi,Mainland China,2020-02-06 23:03:02,96,0,12
Liaoning,Mainland China,2020-02-06 14:33:02,94,0,5
Tianjin,Mainland China,2020-02-06 23:43:01,79,1,2
Guizhou,Mainland China,2020-02-06 09:53:02,71,1,6
Gansu,Mainland China,2020-02-05 16:23:06,62,0,6
Jilin,Mainland China,2020-02-06 14:23:04,59,0,4
Inner Mongolia,Mainland China,2020-02-06 02:23:08,46,0,4
,Japan,2020-02-06 02:53:03,45,0,1
Ningxia,Mainland China,2020-02-06 02:13:15,40,0,1
Xinjiang,Mainland China,2020-02-06 01:13:08,36,0,0
,Singapore,2020-02-05 16:33:03,28,0,0
,Thailand,2020-02-04 15:33:03,25,0,5
Hong Kong,Hong Kong,2020-02-06 14:43:02,24,1,0
,South Korea,2020-02-06 02:53:03,23,0,0
Qinghai,Mainland China,2020-02-06 02:13:15,18,0,3
Taiwan,Taiwan,2020-02-06 15:03:04,16,0,1
,Germany,2020-02-03 20:53:02,12,0,0
,Malaysia,2020-02-05 15:43:02,12,0,0
Macau,Macau,2020-02-06 14:23:04,10,0,1
,Vietnam,2020-02-06 01:13:08,10,0,1
,France,2020-02-01 01:52:40,6,0,0
,United Arab Emirates,2020-02-02 05:43:01,5,0,0
New South Wales,Australia,2020-02-06 03:13:22,4,0,2
Queensland,Australia,2020-02-06 02:53:03,4,0,0
Victoria,Australia,2020-02-01 18:12:49,4,0,0
,India,2020-02-03 21:43:02,3,0,0
South Australia,Australia,2020-02-02 22:33:07,2,0,0
British Columbia,Canada,2020-02-05 17:33:03,2,0,0
"Toronto, ON",Canada,2020-02-04 00:13:06,2,0,0
,Italy,2020-01-31 08:15:53,2,0,0
,Philippines,2020-02-02 03:33:07,2,1,0
,Russia,2020-01-31 16:13:45,2,0,0
,UK,2020-02-01 01:52:40,2,0,0
"Chicago, IL",US,2020-02-01 19:43:03,2,0,0
"San Benito, CA",US,2020-02-03 03:53:02,2,0,0
"Santa Clara, CA",US,2020-02-03 00:43:02,2,0,0
,Belgium,2020-02-04 15:43:02,1,0,0
,Cambodia,2020-01-31 08:15:53,1,0,0
"London, ON",Canada,2020-02-04 00:03:11,1,0,0
,Finland,2020-01-31 08:15:53,1,0,0
Tibet,Mainland China,2020-02-01 01:52:40,1,0,0
,Nepal,2020-01-31 08:15:53,1,0,0
,Spain,2020-02-01 23:43:02,1,0,0
,Sri Lanka,2020-01-31 08:15:53,1,0,0
,Sweden,2020-02-01 02:13:26,1,0,0
"Boston, MA",US,2020-02-01 19:43:03,1,0,0
"Los Angeles, CA",US,2020-02-01 19:53:03,1,0,0
"Madison, WI",US,2020-02-05 21:53:02,1,0,0
"Orange, CA",US,2020-02-01 19:53:03,1,0,0
"Seattle, WA",US,2020-02-01 19:43:03,1,0,0
"Tempe, AZ",US,2020-02-01 19:43:03,1,0,0
