Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-28 00:43:01,65914,2682,26403
,South Korea,2020-02-28 08:53:03,2337,13,22
Guangdong,Mainland China,2020-02-28 08:53:03,1348,7,935
Henan,Mainland China,2020-02-28 09:23:02,1272,20,1112
Zhejiang,Mainland China,2020-02-28 10:03:12,1205,1,975
Hunan,Mainland China,2020-02-28 09:13:10,1017,4,830
Anhui,Mainland China,2020-02-28 04:43:02,990,6,821
Jiangxi,Mainland China,2020-02-28 01:13:11,935,1,790
,Italy,2020-02-28 20:13:09,888,21,46
Shandong,Mainland China,2020-02-28 09:23:02,756,6,405
Diamond Princess cruise ship,Others,2020-02-28 20:53:02,705,6,10
Jiangsu,Mainland China,2020-02-28 08:53:03,631,0,515
Chongqing,Mainland China,2020-02-28 23:23:03,576,6,422
Sichuan,Mainland China,2020-02-28 09:23:02,538,3,338
Heilongjiang,Mainland China,2020-02-28 04:43:02,480,13,283
Beijing,Mainland China,2020-02-28 02:23:05,410,7,257
,Iran,2020-02-28 15:43:03,388,34,73
Shanghai,Mainland China,2020-02-28 04:53:03,337,3,279
Hebei,Mainland China,2020-02-28 08:53:03,318,6,277
Fujian,Mainland China,2020-02-28 09:13:10,296,1,235
Guangxi,Mainland China,2020-02-28 09:13:10,252,2,168
Shaanxi,Mainland China,2020-02-28 08:53:03,245,1,199
,Japan,2020-02-28 12:43:02,228,4,22
Yunnan,Mainland China,2020-02-28 05:03:09,174,2,156
Hainan,Mainland China,2020-02-28 08:53:03,168,5,133
Guizhou,Mainland China,2020-02-27 00:43:02,146,2,112
Tianjin,Mainland China,2020-02-27 23:13:04,136,3,102
Shanxi,Mainland China,2020-02-28 23:23:03,133,0,112
Liaoning,Mainland China,2020-02-27 14:13:06,121,1,93
Hong Kong,Hong Kong,2020-02-28 10:03:12,94,2,30
Jilin,Mainland China,2020-02-28 08:53:03,93,1,73
,Singapore,2020-02-26 19:33:02,93,0,62
Gansu,Mainland China,2020-02-28 02:33:02,91,2,82
Xinjiang,Mainland China,2020-02-28 07:43:02,76,3,52
Inner Mongolia,Mainland China,2020-02-28 07:23:03,75,0,45
Ningxia,Mainland China,2020-02-27 10:03:07,72,0,68
,France,2020-02-28 20:13:09,57,2,11
,Germany,2020-02-28 00:13:18,48,0,16
,Kuwait,2020-02-28 16:23:03,45,0,0
Unassigned Location (From Diamond Princess),US,2020-02-28 20:03:03,44,0,0
,Thailand,2020-02-28 07:53:02,41,0,28
,Bahrain,2020-02-28 15:33:03,36,0,0
Taiwan,Taiwan,2020-02-28 07:13:08,34,1,6
,Spain,2020-02-28 15:33:03,32,0,2
,Malaysia,2020-02-27 15:13:13,23,0,18
,UK,2020-02-28 20:13:09,20,0,8
,United Arab Emirates,2020-02-28 04:13:09,19,0,5
Qinghai,Mainland China,2020-02-21 04:43:02,18,0,18
,Vietnam,2020-02-25 08:53:02,16,0,16
Macau,Macau,2020-02-27 12:43:02,10,0,8
From Diamond Princess,Australia,2020-02-27 03:33:06,8,0,0
,Switzerland,2020-02-27 23:03:11,8,0,0
British Columbia,Canada,2020-02-27 03:33:06,7,0,3
